Table,Year,Rcode,Region,MeanHHExp,MeanHHInc,ratio,MeanHHExp_RSE,MeanHHInc_RSE,ratio_rse,MeanHHExp_flag,MeanHHInc_flag,Ratio_flag
T6,2007,11,Auckland,13883,82736,16.8,8.1,7.8,9.7,,,
T6,2007,12,Wellington,11749,81740,14.4,12.3,8.3,12.1,,,
T6,2007,13,Rest of North Island,8645,56152,15.4,8.6,5.1,9.5,,,
T6,2007,14,Canterbury,9871,65594,15,11.6,10.6,12.8,,,
T6,2007,15,Rest of South Island,7840,62203,12.6,12.3,7,12.7,,,
T6,2007,19,Total New Zealand,10658,69124,15.4,4.8,3.9,5.1,,,
T6,2008,11,Auckland,15372,87647,17.5,7.7,7.2,9.4,,,
T6,2008,12,Wellington,14765,90475,16.3,9.8,7.5,9.9,,,
T6,2008,13,Rest of North Island,9122,64554,14.1,9.9,6.4,10.4,,,
T6,2008,14,Canterbury,11384,66186,17.2,7.8,9.6,10.4,,,
T6,2008,15,Rest of South Island,9150,66003,13.9,16.1,7,12.7,,,
T6,2008,19,Total New Zealand,11967,74882,16,4,3.7,5.4,,,
T6,2009,11,Auckland,14569,88534,16.5,7.9,7.7,9.6,,,
T6,2009,12,Wellington,14246,91424,15.6,11.2,9.1,10.6,,,
T6,2009,13,Rest of North Island,10566,68322,15.5,14.4,6,15.4,,,
T6,2009,14,Canterbury,10860,76318,14.2,10.7,9.5,13.9,,,
T6,2009,15,Rest of South Island,9014,69247,13,12.7,10.6,10.2,,,
T6,2009,19,Total New Zealand,12052,78254,15.4,5.8,3.8,6.3,,,
T6,2010,11,Auckland,16107,84892,19,8.6,9,10,,,
T6,2010,12,Wellington,13561,92728,14.6,10,9.9,10.5,,,
T6,2010,13,Rest of North Island,8991,66102,13.6,10.3,5.5,10.5,,,
T6,2010,14,Canterbury,10427,77990,13.4,8.2,10.9,13.3,,,
T6,2010,15,Rest of South Island,8850,70487,12.6,12,10.5,16.5,,,
T6,2010,19,Total New Zealand,11837,76928,15.4,4.9,3.7,5.7,,,
T6,2011,11,Auckland,17856,91925,19.4,8.9,9.8,12,,,
T6,2011,12,Wellington,14373,98586,14.6,7.5,9.3,9.3,,,
T6,2011,13,Rest of North Island,10020,68285,14.7,6.7,11.2,12.3,,,
T6,2011,14,Canterbury,10812,72533,14.9,8.2,9,12.8,,,
T6,2011,15,Rest of South Island,9491,70719,13.4,9.6,7.3,10.9,,,
T6,2011,19,Total New Zealand,12928,79720,16.2,4,4.2,5.4,,,
T6,2012,11,Auckland,16751,94202,17.8,7.4,7.2,9.1,,,
T6,2012,12,Wellington,14751,93877,15.7,9.4,7.1,9.5,,,
T6,2012,13,Rest of North Island,10819,67406,16,7.9,5.8,8.5,,,
T6,2012,14,Canterbury,10550,83564,12.6,8.7,7.7,12.7,,,
T6,2012,15,Rest of South Island,9853,71615,13.8,10.3,12.7,14.6,,,
T6,2012,19,Total New Zealand,12916,81170,15.9,4.1,3,4.7,,,
T6,2013,11,Auckland,17743,96755,18.3,9.2,8.6,7.3,,,
T6,2013,12,Wellington,14640,105278,13.9,8.8,10.1,12.5,,,
T6,2013,13,Rest of North Island,10176,72322,14.1,9.2,7.5,10.8,,,
T6,2013,14,Canterbury,11201,85366,13.1,8.3,9.1,11.4,,,
T6,2013,15,Rest of South Island,9527,76430,12.5,8.9,9.7,12,,,
T6,2013,19,Total New Zealand,13045,85678,15.2,4.2,3.7,4.1,,,
T6,2014,11,Auckland,18643,103326,18,7.4,6.5,7.5,,,
T6,2014,12,Wellington,16020,97402,16.4,9.5,8,9,,,
T6,2014,13,Rest of North Island,11833,72300,16.4,8.6,5.9,8.4,,,
T6,2014,14,Canterbury,12757,90112,14.2,9.5,7,10.3,,,
T6,2014,15,Rest of South Island,9805,83903,11.7,12.7,11.3,14.8,,,
T6,2014,19,Total New Zealand,14277,88339,16.2,4.5,3,4.3,,,
T6,2015,11,Auckland,19981,106453,18.8,5.4,6.1,5.8,,,
T6,2015,12,Wellington,14806,102817,14.4,7.7,8,9.4,,,
T6,2015,13,Rest of North Island,12043,81780,14.7,7.7,7.4,9.4,,,
T6,2015,14,Canterbury,14656,94048,15.6,8.2,5,7.6,,,
T6,2015,15,Rest of South Island,10027,82586,12.1,7.6,7.8,9.6,,,
T6,2015,19,Total New Zealand,14921,93482,16,3.1,3.2,3.9,,,
T6,2016,11,Auckland,22030,110694,19.9,7.1,7.8,9.7,,,
T6,2016,12,Wellington,15100,96151,15.7,7.9,8.5,9.5,,,
T6,2016,13,Rest of North Island,13070,81138,16.1,10.4,7.5,8.5,,,
T6,2016,14,Canterbury,14176,92025,15.4,11.4,6.4,11.6,,,
T6,2016,15,Rest of South Island,12105,77075,15.7,9.8,9.6,9.3,,,
T6,2016,19,Total New Zealand,16137,93032,17.3,4.5,4.4,4.4,,,
T6,2017,11,Auckland,21327,120664,17.7,7.3,8.1,9.4,,,
T6,2017,12,Wellington,17819,114602,15.5,10.7,10.8,10.9,,,
T6,2017,13,Rest of North Island,13076,84115,15.5,7.5,4.4,7.1,,,
T6,2017,14,Canterbury,13968,93549,14.9,9,9.4,11,,,
T6,2017,15,Rest of South Island,11761,78041,15.1,11.7,8.7,13.2,,,
T6,2017,19,Total New Zealand,16174,99579,16.2,3.8,3.9,4.3,,,
T6,2018,11,Auckland,22561,124578,18.1,7.2,8.8,9.3,,,
T6,2018,12,Wellington,16672,119678,13.9,7.2,8.9,11,,,
T6,2018,13,Rest of North Island,14034,90647,15.5,7.3,6.4,8.4,,,
T6,2018,14,Canterbury,15897,99496,16,6.3,7.7,6.9,,,
T6,2018,15,Rest of South Island,12659,84706,14.9,9.2,6.9,10.1,,,
T6,2018,19,Total New Zealand,17122,105109,16.3,3.9,3.7,4.5,,,
